Full Name,UB MAIL,CURRENT DEGREE,SKILLS,WORK EXPERIENCE,PROJECTS,GENDER,GPA,JOINING
Patrick Marshall,vrichardson@example.org,PHD,AI/ML,3,9,FEMALE,3.83,IMMEDIATELY
Kara Taylor PhD,foxstacy@example.org,PHD,CLOUD,2,10,OTHERS,3.36,INTERESTED TO JOIN
April King,johnsonwilliam@example.net,MASTERS,CLOUD,4,2,MALE,3.27,IMMEDIATELY
Teresa Ross,christopher15@example.net,PHD,WEB DEV,2,10,FEMALE,3.34,INTERESTED TO JOIN
Laurie Cervantes,goodwinellen@example.com,PHD,CLOUD,6,10,MALE,3.2,IMMEDIATELY
Joseph Henderson,hcox@example.net,UNDER GRAD,AI/ML,5,2,OTHERS,3.5,IMMEDIATELY
Allison Moore,teresa20@example.org,UNDER GRAD,AI/ML,6,7,OTHERS,3.33,IMMEDIATELY
Tim Gibson,simmonsdonald@example.net,MASTERS,BACKEND,3,8,MALE,3.09,IMMEDIATELY
Ronald Anderson,zachary47@example.net,PHD,APP DEV,1,2,MALE,3.35,IMMEDIATELY
Matthew Ferguson,tanderson@example.com,UNDER GRAD,AI/ML,2,9,FEMALE,3.88,IMMEDIATELY
Diana Cooper,daviskristin@example.net,MASTERS,FRONTEND,1,9,FEMALE,3.5,IMMEDIATELY
Daniel Blankenship,dgonzales@example.com,MASTERS,FULLSTACK,7,4,FEMALE,3.74,IMMEDIATELY
Diane Hill,cheyennepatel@example.net,PHD,AI/ML,3,4,FEMALE,3.84,IMMEDIATELY
Ashley Ortiz,vrose@example.net,PHD,CLOUD,6,3,OTHERS,3.47,INTERESTED TO JOIN
Shannon Morgan,gregorydiane@example.org,UNDER GRAD,FULLSTACK,7,3,OTHERS,3.4,IMMEDIATELY
Cody Daugherty,paulwagner@example.org,MASTERS,FULLSTACK,3,5,OTHERS,3.31,INTERESTED TO JOIN
Jeremy Henderson,aaron16@example.org,MASTERS,FULLSTACK,0,0,OTHERS,3.31,INTERESTED TO JOIN
Billy Coffey,williamduarte@example.org,MASTERS,AI/ML,7,3,FEMALE,3.56,IMMEDIATELY
Erin Lee,bwilson@example.net,MASTERS,APP DEV,5,7,FEMALE,3.48,INTERESTED TO JOIN
Isaac Hodges,gonzalezsamuel@example.org,PHD,BACKEND,1,10,MALE,3.18,IMMEDIATELY
Theodore Russell,stephen06@example.org,MASTERS,APP DEV,1,3,OTHERS,3.52,INTERESTED TO JOIN
Mrs. Hayley Owens,kathymendoza@example.org,UNDER GRAD,AI/ML,5,5,FEMALE,3.36,IMMEDIATELY
John Stark,torresrobert@example.net,PHD,CLOUD,0,2,MALE,3.51,INTERESTED TO JOIN
Stephen Lynch,plyons@example.com,UNDER GRAD,FULLSTACK,2,2,MALE,3.77,INTERESTED TO JOIN
Martin Ramirez,james89@example.net,MASTERS,FRONTEND,4,0,FEMALE,3.87,IMMEDIATELY
Jonathan Wood,anthony84@example.com,PHD,AI/ML,4,3,MALE,3.04,INTERESTED TO JOIN
Sarah Moore,aaron18@example.org,PHD,APP DEV,0,4,OTHERS,3.57,IMMEDIATELY
Tony Paul,barkerdawn@example.net,MASTERS,CLOUD,4,1,FEMALE,3.43,INTERESTED TO JOIN
John Fleming,justinallen@example.org,PHD,WEB DEV,0,9,MALE,3.6,INTERESTED TO JOIN
Christopher Ryan,sarajohnson@example.org,MASTERS,WEB DEV,6,7,MALE,3.32,INTERESTED TO JOIN
Donald Frey,zbennett@example.com,MASTERS,FRONTEND,4,10,MALE,3.89,INTERESTED TO JOIN
Manuel Palmer,pamela44@example.org,PHD,CLOUD,6,6,MALE,3.37,IMMEDIATELY
Shelby Spencer,juliamccullough@example.net,PHD,APP DEV,1,10,OTHERS,3.24,INTERESTED TO JOIN
Steven Little,maryanderson@example.org,UNDER GRAD,WEB DEV,1,2,FEMALE,3.35,INTERESTED TO JOIN
Catherine Ortiz,breannasavage@example.net,MASTERS,WEB DEV,4,6,MALE,3.92,IMMEDIATELY
Heather Kirk,maynardsara@example.org,PHD,CLOUD,2,10,FEMALE,3.22,IMMEDIATELY
James Watson,troymarshall@example.com,UNDER GRAD,WEB DEV,5,7,MALE,3.17,INTERESTED TO JOIN
Brittany Myers,whitetroy@example.com,UNDER GRAD,FULLSTACK,1,2,MALE,3.84,IMMEDIATELY
Bethany Pennington DVM,ybennett@example.com,PHD,FRONTEND,2,9,OTHERS,3.84,IMMEDIATELY
Alexander Schaefer,bmarshall@example.net,UNDER GRAD,WEB DEV,2,6,MALE,3.17,IMMEDIATELY
Edwin Stevens,stephanie82@example.org,MASTERS,AI/ML,7,10,MALE,3.68,INTERESTED TO JOIN
Allison Hancock,phillip30@example.org,PHD,AI/ML,4,7,FEMALE,3.82,IMMEDIATELY
Elizabeth Watkins,iellis@example.com,UNDER GRAD,FRONTEND,4,2,MALE,3.91,IMMEDIATELY
Brenda Wu,misty40@example.net,UNDER GRAD,WEB DEV,2,3,MALE,3.07,IMMEDIATELY
Randy Anderson,perezedward@example.com,UNDER GRAD,FRONTEND,3,7,FEMALE,3.63,INTERESTED TO JOIN
Shannon Dunlap,janehenderson@example.com,PHD,AI/ML,0,7,FEMALE,3.77,IMMEDIATELY
Henry Hardy,martinkelsey@example.com,PHD,BACKEND,0,4,FEMALE,3.09,IMMEDIATELY
Jennifer Cox,miguel73@example.net,UNDER GRAD,FULLSTACK,0,7,MALE,3.3,IMMEDIATELY
Nancy Anderson,diana56@example.net,PHD,BACKEND,7,3,OTHERS,3.89,INTERESTED TO JOIN
Matthew Johnson,ruizleonard@example.com,UNDER GRAD,FRONTEND,6,3,FEMALE,3.25,INTERESTED TO JOIN
Rachel Whitehead,monica72@example.net,UNDER GRAD,WEB DEV,5,9,OTHERS,3.31,INTERESTED TO JOIN
Jonathan Ho,aaronscott@example.com,PHD,CYBER SECURITY,2,2,MALE,3.03,IMMEDIATELY
Susan Fowler,stevenyoung@example.com,UNDER GRAD,FRONTEND,7,4,FEMALE,3.5,INTERESTED TO JOIN
Lisa Wolfe DVM,bryantwilliam@example.org,UNDER GRAD,FULLSTACK,5,8,MALE,3.26,INTERESTED TO JOIN
Curtis Bauer,charlesbentley@example.net,PHD,FULLSTACK,5,5,OTHERS,3.94,INTERESTED TO JOIN
Courtney Morris,nmercado@example.com,MASTERS,FULLSTACK,4,8,FEMALE,3.27,INTERESTED TO JOIN
Joseph Farrell,hernandezrobert@example.net,UNDER GRAD,AI/ML,1,8,MALE,3.03,IMMEDIATELY
Ashley Taylor,pam16@example.net,PHD,CLOUD,5,6,OTHERS,3.45,INTERESTED TO JOIN
Amber Rodriguez,garciacynthia@example.net,UNDER GRAD,FULLSTACK,5,0,OTHERS,3.62,IMMEDIATELY
Aaron Bowman,rodriguezlisa@example.org,PHD,APP DEV,4,8,FEMALE,3.01,IMMEDIATELY
Mary Nelson,kathleenstewart@example.org,UNDER GRAD,FRONTEND,3,4,FEMALE,3.43,INTERESTED TO JOIN
James Young,crystal96@example.org,PHD,APP DEV,7,2,FEMALE,3.18,INTERESTED TO JOIN
Michael Miller,scox@example.org,PHD,FULLSTACK,7,3,OTHERS,3.86,INTERESTED TO JOIN
Sandra Owens,emily16@example.net,UNDER GRAD,CYBER SECURITY,1,10,OTHERS,3.63,INTERESTED TO JOIN
Pamela Mills,haysalex@example.com,PHD,AI/ML,7,5,OTHERS,3.83,INTERESTED TO JOIN
Mrs. Kelly Austin,christyleonard@example.net,UNDER GRAD,CLOUD,3,7,OTHERS,3.49,INTERESTED TO JOIN
Christopher Bowers,melissa28@example.org,UNDER GRAD,CYBER SECURITY,1,7,FEMALE,3.96,INTERESTED TO JOIN
Mark Reynolds,stephaniepoole@example.org,PHD,FRONTEND,3,3,MALE,3.86,IMMEDIATELY
Edward Lopez,perezcharlene@example.org,PHD,FULLSTACK,1,0,OTHERS,3.43,INTERESTED TO JOIN
Elizabeth Tate,jacob35@example.com,MASTERS,FULLSTACK,2,7,OTHERS,3.41,IMMEDIATELY
Michele Fleming,hickshaley@example.com,MASTERS,FRONTEND,4,9,FEMALE,3.76,INTERESTED TO JOIN
Kathleen Gonzalez,meganpena@example.com,UNDER GRAD,APP DEV,4,4,OTHERS,3.27,INTERESTED TO JOIN
Gregory Ward,csmith@example.net,UNDER GRAD,FULLSTACK,7,6,MALE,3.6,INTERESTED TO JOIN
Christopher Mitchell,qmoon@example.net,MASTERS,AI/ML,3,7,MALE,3.89,INTERESTED TO JOIN
Dale Miller,xsmith@example.net,UNDER GRAD,CYBER SECURITY,2,7,OTHERS,3.07,IMMEDIATELY
Mr. Justin Gould,jeremiah24@example.com,PHD,FRONTEND,7,1,OTHERS,3.87,IMMEDIATELY
Lauren Johnson,umiller@example.com,PHD,BACKEND,6,2,FEMALE,3.33,IMMEDIATELY
Michele Young,emily02@example.net,UNDER GRAD,FULLSTACK,0,4,OTHERS,3.69,INTERESTED TO JOIN
Andre Duncan,thomas09@example.com,MASTERS,FRONTEND,0,8,OTHERS,3.62,INTERESTED TO JOIN
Mary Johnson,mclaughlinkristen@example.com,PHD,CLOUD,7,9,OTHERS,3.65,INTERESTED TO JOIN
Laura Leach,richardsimpson@example.org,UNDER GRAD,CYBER SECURITY,6,5,MALE,3.48,INTERESTED TO JOIN
Kristi Allen,kevinjohnson@example.net,UNDER GRAD,AI/ML,7,8,MALE,3.61,IMMEDIATELY
Adrian Owen,natalie68@example.com,PHD,FRONTEND,5,5,OTHERS,3.63,IMMEDIATELY
Micheal Lopez,brendaadams@example.org,UNDER GRAD,APP DEV,7,3,OTHERS,3.89,INTERESTED TO JOIN
Robert Gibson,hannahclark@example.com,UNDER GRAD,WEB DEV,3,7,OTHERS,3.43,IMMEDIATELY
Lisa Lucas,mark68@example.com,MASTERS,CLOUD,4,0,MALE,3.38,INTERESTED TO JOIN
Michael Fitzgerald,leahharmon@example.com,PHD,AI/ML,5,2,MALE,3.04,INTERESTED TO JOIN
Jeffrey Sullivan,marilynsmith@example.net,UNDER GRAD,APP DEV,6,8,MALE,3.75,IMMEDIATELY
Travis Lewis,harrellkatherine@example.com,UNDER GRAD,BACKEND,4,3,MALE,4.0,INTERESTED TO JOIN
Stacey Hughes,yjenkins@example.com,MASTERS,BACKEND,4,5,OTHERS,3.72,INTERESTED TO JOIN
Steven Jones,briancarroll@example.com,UNDER GRAD,CYBER SECURITY,5,5,OTHERS,3.05,INTERESTED TO JOIN
Brooke Conrad,elliscameron@example.org,UNDER GRAD,CYBER SECURITY,5,5,MALE,3.92,INTERESTED TO JOIN
Gary Barker,ariddle@example.com,PHD,FULLSTACK,2,7,OTHERS,3.96,IMMEDIATELY
Joshua Mullins,stevennichols@example.com,UNDER GRAD,CYBER SECURITY,0,9,FEMALE,3.83,IMMEDIATELY
Monica Johnson,fjones@example.com,PHD,CLOUD,7,0,FEMALE,3.15,INTERESTED TO JOIN
James Wilson,jorgewalters@example.net,MASTERS,WEB DEV,4,3,OTHERS,3.97,INTERESTED TO JOIN
Mark Sullivan,downscolton@example.com,PHD,CLOUD,1,2,FEMALE,3.3,INTERESTED TO JOIN
Seth Quinn,oking@example.net,MASTERS,CYBER SECURITY,7,5,MALE,3.89,INTERESTED TO JOIN
John Moore,david78@example.org,MASTERS,CYBER SECURITY,4,0,FEMALE,3.08,INTERESTED TO JOIN
Donna Thompson,hwilliams@example.net,MASTERS,BACKEND,7,9,MALE,3.28,IMMEDIATELY
Jason Davis,lawrencelucas@example.net,PHD,CLOUD,6,3,MALE,3.96,INTERESTED TO JOIN
Crystal Frye,castrokyle@example.com,UNDER GRAD,CLOUD,7,9,MALE,3.55,IMMEDIATELY
Gerald Cain,johnnyharris@example.com,PHD,FRONTEND,4,5,FEMALE,3.47,IMMEDIATELY
Julie Bailey,imiller@example.net,PHD,APP DEV,6,9,OTHERS,3.06,IMMEDIATELY
Diana Lozano,emily65@example.org,PHD,CLOUD,0,0,FEMALE,3.06,IMMEDIATELY
Phillip Novak,reyesmichelle@example.net,UNDER GRAD,FULLSTACK,5,4,MALE,3.3,IMMEDIATELY
Antonio Hayes,tarawu@example.net,UNDER GRAD,FULLSTACK,0,4,MALE,3.4,INTERESTED TO JOIN
Nicole Pittman,joseph31@example.net,UNDER GRAD,FULLSTACK,7,0,OTHERS,3.55,IMMEDIATELY
Daniel Wilson,matthewwells@example.com,PHD,BACKEND,4,1,FEMALE,3.54,INTERESTED TO JOIN
Kimberly Rodriguez,craigcooper@example.com,PHD,APP DEV,6,6,FEMALE,3.48,INTERESTED TO JOIN
Chase Anderson Jr.,carrjeffrey@example.net,PHD,FRONTEND,0,4,OTHERS,3.61,IMMEDIATELY
Manuel Diaz,shelleychase@example.net,MASTERS,FULLSTACK,7,4,FEMALE,3.81,IMMEDIATELY
Nancy Wilson,gordonbrian@example.net,PHD,CLOUD,5,9,FEMALE,3.71,INTERESTED TO JOIN
Melissa Vargas MD,christiandennis@example.net,UNDER GRAD,FRONTEND,1,0,FEMALE,3.79,IMMEDIATELY
Peter Alvarez,kyle90@example.net,PHD,AI/ML,0,8,OTHERS,3.91,INTERESTED TO JOIN
Sarah Mason,fsweeney@example.com,PHD,FULLSTACK,2,9,MALE,3.8,IMMEDIATELY
Tyler Randall,jerrypage@example.org,MASTERS,WEB DEV,4,8,FEMALE,3.2,IMMEDIATELY
Kristen Graham,rachelevans@example.net,MASTERS,FULLSTACK,6,9,OTHERS,3.73,INTERESTED TO JOIN
Chris Fox,prattkenneth@example.com,UNDER GRAD,APP DEV,7,0,FEMALE,3.3,IMMEDIATELY
Tim Flores,sierra18@example.net,UNDER GRAD,AI/ML,0,4,MALE,3.6,INTERESTED TO JOIN
Nathan Blankenship,stoneroger@example.net,PHD,FRONTEND,7,5,FEMALE,3.4,INTERESTED TO JOIN
Eric Evans,dickersoncrystal@example.com,PHD,CYBER SECURITY,1,5,FEMALE,3.1,INTERESTED TO JOIN
Chris Roman,nsalas@example.org,UNDER GRAD,CYBER SECURITY,6,5,FEMALE,3.88,INTERESTED TO JOIN
Zachary Jones,amaxwell@example.net,MASTERS,FRONTEND,5,0,FEMALE,3.11,IMMEDIATELY
Anne Kramer,michael20@example.com,MASTERS,CLOUD,3,9,OTHERS,3.49,INTERESTED TO JOIN
Nicholas Sandoval,katelyn40@example.org,MASTERS,CLOUD,6,9,FEMALE,3.11,IMMEDIATELY
Andrew Barnett,andrewhunter@example.net,MASTERS,BACKEND,1,7,MALE,3.6,INTERESTED TO JOIN
Alan Richards,jose42@example.org,PHD,WEB DEV,1,7,MALE,3.61,INTERESTED TO JOIN
Mark Petty,rowlandrebecca@example.net,PHD,FRONTEND,6,7,MALE,3.24,INTERESTED TO JOIN
Mr. Jesse Campbell MD,vanessasalinas@example.net,PHD,CYBER SECURITY,4,3,MALE,3.06,INTERESTED TO JOIN
William Norman,browningamber@example.org,UNDER GRAD,AI/ML,4,1,FEMALE,3.46,IMMEDIATELY
Jennifer Bush,acox@example.net,PHD,CYBER SECURITY,6,5,FEMALE,3.89,INTERESTED TO JOIN
Stephanie Ball,moonwilliam@example.net,MASTERS,CLOUD,1,1,FEMALE,3.05,IMMEDIATELY
Jonathan Ward,michelle88@example.com,MASTERS,AI/ML,7,3,FEMALE,3.52,IMMEDIATELY
Edward Moore,lambertaimee@example.net,MASTERS,FRONTEND,1,10,MALE,3.83,INTERESTED TO JOIN
Laura Peterson,gonzaleztyler@example.net,PHD,BACKEND,4,2,OTHERS,3.83,INTERESTED TO JOIN
Ashley Williams,ajohnson@example.com,MASTERS,AI/ML,3,8,MALE,3.49,INTERESTED TO JOIN
Keith Ochoa,dudleyalbert@example.com,PHD,AI/ML,4,4,FEMALE,3.57,INTERESTED TO JOIN
Ashley Scott MD,victorturner@example.com,UNDER GRAD,WEB DEV,6,7,OTHERS,3.04,IMMEDIATELY
Leah Martin,lopezryan@example.org,PHD,APP DEV,4,8,FEMALE,3.31,IMMEDIATELY
Andrew Costa,vcollins@example.org,MASTERS,AI/ML,4,2,OTHERS,3.54,IMMEDIATELY
Courtney Smith,campbelljoseph@example.net,UNDER GRAD,CLOUD,5,1,MALE,3.24,INTERESTED TO JOIN
Christopher Harmon,kyle05@example.net,PHD,APP DEV,6,9,FEMALE,3.68,INTERESTED TO JOIN
Patrick Warren,kimberlyrodgers@example.com,PHD,BACKEND,3,9,OTHERS,3.89,IMMEDIATELY
Steven Garcia,mackenzieflores@example.net,UNDER GRAD,APP DEV,2,2,FEMALE,3.62,INTERESTED TO JOIN
Jonathan Ortiz,michellegreene@example.com,PHD,AI/ML,1,10,OTHERS,3.9,INTERESTED TO JOIN
Darlene Cooper,donaldgilbert@example.com,MASTERS,CYBER SECURITY,2,8,FEMALE,3.16,INTERESTED TO JOIN
Tara Daniels,rodriguezjennifer@example.com,MASTERS,FULLSTACK,1,4,MALE,3.96,IMMEDIATELY
Lauren Hamilton,markmartin@example.org,PHD,CYBER SECURITY,1,4,MALE,3.97,INTERESTED TO JOIN
Hannah Ayala,michael11@example.org,PHD,AI/ML,3,0,OTHERS,3.29,INTERESTED TO JOIN
Jessica Booth,kduncan@example.net,UNDER GRAD,FRONTEND,1,3,FEMALE,3.51,IMMEDIATELY
John Warren,gina28@example.com,UNDER GRAD,WEB DEV,1,6,OTHERS,3.23,IMMEDIATELY
Gary Stark,lukerogers@example.com,PHD,APP DEV,6,0,MALE,3.06,INTERESTED TO JOIN
Laura Benton,kwilliams@example.net,UNDER GRAD,WEB DEV,6,8,FEMALE,3.05,INTERESTED TO JOIN
Brian Sims,jason89@example.net,MASTERS,APP DEV,4,7,OTHERS,3.61,INTERESTED TO JOIN
Tracy Carroll,qtucker@example.org,UNDER GRAD,AI/ML,2,6,FEMALE,3.77,IMMEDIATELY
Sydney Campbell,brianjohnson@example.com,MASTERS,CYBER SECURITY,7,4,OTHERS,3.65,INTERESTED TO JOIN
Latasha Oneal,jameswalker@example.org,PHD,CYBER SECURITY,4,4,MALE,3.87,IMMEDIATELY
Ryan Bennett,banksmelissa@example.org,PHD,CLOUD,5,7,FEMALE,3.48,IMMEDIATELY
Justin Cowan,jonathan43@example.com,UNDER GRAD,WEB DEV,0,5,OTHERS,3.62,INTERESTED TO JOIN
Anna Lewis,williamsonjonathan@example.com,PHD,CLOUD,1,2,OTHERS,3.69,IMMEDIATELY
Hector Hall,faith42@example.org,UNDER GRAD,APP DEV,6,3,FEMALE,3.78,INTERESTED TO JOIN
Raymond Mitchell,mjordan@example.org,PHD,CLOUD,1,2,FEMALE,3.87,IMMEDIATELY
Jennifer Watson,chernandez@example.org,MASTERS,BACKEND,6,0,MALE,3.03,INTERESTED TO JOIN
David Griffin,katrinacole@example.org,PHD,CYBER SECURITY,2,3,OTHERS,3.67,IMMEDIATELY
Ashley Odom,murphyruth@example.com,UNDER GRAD,CYBER SECURITY,0,3,FEMALE,3.54,INTERESTED TO JOIN
Melissa Wright,oreilly@example.org,UNDER GRAD,FULLSTACK,2,0,OTHERS,3.27,IMMEDIATELY
Lisa Mcdonald,jennaward@example.org,PHD,WEB DEV,3,4,FEMALE,3.73,IMMEDIATELY
Brian Payne,shawn41@example.com,PHD,FRONTEND,4,9,OTHERS,3.18,IMMEDIATELY
Tina Gonzalez,floresjustin@example.com,MASTERS,AI/ML,2,1,OTHERS,3.31,IMMEDIATELY
Louis Smith,nwebb@example.org,UNDER GRAD,FULLSTACK,7,2,OTHERS,3.14,IMMEDIATELY
Catherine Benjamin,crawforddavid@example.org,PHD,CLOUD,4,4,FEMALE,3.89,INTERESTED TO JOIN
Amber Torres,schwartzgregory@example.org,UNDER GRAD,BACKEND,5,4,FEMALE,3.68,IMMEDIATELY
Mason Matthews,wilsonsusan@example.org,UNDER GRAD,FULLSTACK,3,1,MALE,3.47,INTERESTED TO JOIN
Donald Scott,pamela05@example.net,UNDER GRAD,FULLSTACK,5,7,FEMALE,3.2,INTERESTED TO JOIN
Jennifer Wright,jay30@example.com,PHD,CLOUD,0,10,FEMALE,3.26,INTERESTED TO JOIN
Mary Jones,eacosta@example.org,PHD,AI/ML,3,9,FEMALE,3.23,IMMEDIATELY
Paul Thomas,millercynthia@example.org,MASTERS,CLOUD,0,5,MALE,3.26,INTERESTED TO JOIN
Lance Khan,heather79@example.net,PHD,AI/ML,6,3,MALE,3.33,INTERESTED TO JOIN
Patrick Pena,albertrandall@example.org,UNDER GRAD,BACKEND,6,1,FEMALE,3.6,IMMEDIATELY
Christopher Williams,lisabarrett@example.com,PHD,CLOUD,4,10,MALE,3.95,IMMEDIATELY
Dominique Calderon,davidroberson@example.net,PHD,AI/ML,5,7,OTHERS,3.95,INTERESTED TO JOIN
Timothy Smith,langpatricia@example.org,MASTERS,WEB DEV,1,8,FEMALE,3.74,IMMEDIATELY
Chelsea Willis,tfarley@example.org,MASTERS,BACKEND,6,0,FEMALE,3.14,IMMEDIATELY
Jennifer Woods DDS,patriciasolomon@example.org,UNDER GRAD,APP DEV,1,6,MALE,3.12,IMMEDIATELY
Emily Cook,jorozco@example.com,PHD,WEB DEV,7,10,OTHERS,3.8,IMMEDIATELY
Miguel Pineda,greenstephanie@example.com,UNDER GRAD,BACKEND,4,10,OTHERS,3.81,INTERESTED TO JOIN
Darryl Perry,joe75@example.net,UNDER GRAD,APP DEV,5,0,OTHERS,3.43,IMMEDIATELY
Christine Pugh,murraycarlos@example.net,PHD,APP DEV,4,8,FEMALE,3.34,INTERESTED TO JOIN
Mark Lucas,mthompson@example.com,UNDER GRAD,WEB DEV,1,10,MALE,3.45,IMMEDIATELY
Joel Harris,teresa58@example.net,PHD,FULLSTACK,2,2,FEMALE,3.41,INTERESTED TO JOIN
William Payne,vphillips@example.net,MASTERS,CYBER SECURITY,1,9,MALE,3.3,INTERESTED TO JOIN
Justin Bolton,ericksonbrett@example.net,MASTERS,CLOUD,0,10,MALE,3.67,IMMEDIATELY
Adam Frost,reedroger@example.net,UNDER GRAD,FULLSTACK,1,10,FEMALE,3.43,INTERESTED TO JOIN
Miguel Nelson,michele97@example.org,MASTERS,AI/ML,1,5,OTHERS,3.17,INTERESTED TO JOIN
Hannah Hill,andersontara@example.net,PHD,FRONTEND,3,7,OTHERS,3.86,IMMEDIATELY
Christopher Martinez,garyellis@example.net,UNDER GRAD,FRONTEND,2,6,MALE,3.46,INTERESTED TO JOIN
James Randall,jsmith@example.org,PHD,CLOUD,1,8,FEMALE,3.07,IMMEDIATELY
John Morris,perkinsallison@example.net,MASTERS,FULLSTACK,0,9,FEMALE,3.79,INTERESTED TO JOIN
Michael Cox,karen40@example.net,PHD,FRONTEND,4,9,FEMALE,3.48,INTERESTED TO JOIN
Courtney Lynch,joseph46@example.org,MASTERS,CYBER SECURITY,4,5,MALE,3.67,INTERESTED TO JOIN
Ronald Stephens,wjohnston@example.net,UNDER GRAD,WEB DEV,6,10,MALE,3.02,IMMEDIATELY
Kara Robbins DDS,mark14@example.net,UNDER GRAD,AI/ML,3,0,FEMALE,3.73,INTERESTED TO JOIN
Tyler Dickerson MD,anthonyderrick@example.org,PHD,CYBER SECURITY,4,4,MALE,3.65,INTERESTED TO JOIN
Joshua Bird,jacob64@example.net,PHD,APP DEV,3,2,MALE,3.95,INTERESTED TO JOIN
Robert Johns,sanchezthomas@example.org,UNDER GRAD,AI/ML,3,1,OTHERS,3.84,IMMEDIATELY
Troy Mora,fbray@example.com,PHD,APP DEV,2,2,FEMALE,3.78,INTERESTED TO JOIN
Stephanie Burns,jodi25@example.com,UNDER GRAD,WEB DEV,4,8,OTHERS,3.4,INTERESTED TO JOIN
Erik Short,chelseageorge@example.org,UNDER GRAD,WEB DEV,1,3,OTHERS,3.37,IMMEDIATELY
Jodi Kennedy,hardykirsten@example.org,PHD,CYBER SECURITY,6,7,MALE,3.51,IMMEDIATELY
Anna Hart,paigebell@example.com,PHD,WEB DEV,1,0,MALE,3.68,IMMEDIATELY
Marcus Castillo,jennyliu@example.net,UNDER GRAD,BACKEND,4,7,MALE,3.63,IMMEDIATELY
Sydney Jenkins,sonyacoleman@example.org,MASTERS,BACKEND,0,0,FEMALE,3.46,IMMEDIATELY
Patricia Brown,sray@example.com,MASTERS,WEB DEV,1,2,OTHERS,3.92,IMMEDIATELY
Alyssa Reyes,krystal17@example.net,UNDER GRAD,FULLSTACK,6,9,FEMALE,3.09,INTERESTED TO JOIN
Debbie Ross,carterbarbara@example.com,PHD,FRONTEND,2,7,FEMALE,3.27,INTERESTED TO JOIN
Caleb West,jeffrey07@example.org,UNDER GRAD,CYBER SECURITY,6,10,FEMALE,3.1,IMMEDIATELY
Danielle Chapman,nortiz@example.net,PHD,FRONTEND,1,2,OTHERS,3.67,INTERESTED TO JOIN
Erica Escobar,ronaldrivers@example.com,PHD,BACKEND,4,1,OTHERS,3.48,INTERESTED TO JOIN
Carl Petersen,emoore@example.org,UNDER GRAD,AI/ML,5,9,FEMALE,3.35,INTERESTED TO JOIN
Brandon Hart,angela88@example.org,MASTERS,FRONTEND,3,10,OTHERS,3.19,INTERESTED TO JOIN
David Blackburn,ejohnson@example.org,PHD,FULLSTACK,0,9,MALE,3.18,INTERESTED TO JOIN
Nicholas Knight,timothycoleman@example.com,UNDER GRAD,AI/ML,5,7,OTHERS,3.33,INTERESTED TO JOIN
Dawn Parrish,clarkanita@example.org,PHD,APP DEV,1,7,FEMALE,3.15,IMMEDIATELY
Christopher Brennan,cooknicholas@example.net,UNDER GRAD,WEB DEV,0,1,OTHERS,3.61,INTERESTED TO JOIN
Michelle Robinson,lkelley@example.com,MASTERS,APP DEV,0,2,FEMALE,3.55,INTERESTED TO JOIN
Kayla Morgan,brandi00@example.org,UNDER GRAD,FULLSTACK,7,2,MALE,3.79,IMMEDIATELY
Kyle Weaver,mccalljacob@example.com,MASTERS,WEB DEV,4,7,OTHERS,3.05,IMMEDIATELY
Connor Washington,lori97@example.com,PHD,CYBER SECURITY,0,8,OTHERS,3.36,INTERESTED TO JOIN
Bobby Thompson,jose49@example.org,MASTERS,CLOUD,6,7,FEMALE,3.52,IMMEDIATELY
Rose Ross,ramirezjustin@example.org,UNDER GRAD,CLOUD,7,1,MALE,3.13,INTERESTED TO JOIN
Emily Anderson,jill06@example.net,MASTERS,WEB DEV,1,5,OTHERS,3.89,INTERESTED TO JOIN
Hailey Martinez,murphyvictor@example.org,PHD,CYBER SECURITY,1,1,OTHERS,3.8,IMMEDIATELY
Michelle Rice,williamdiaz@example.org,MASTERS,AI/ML,0,9,FEMALE,3.59,IMMEDIATELY
Maria Martinez,jfisher@example.org,MASTERS,CYBER SECURITY,0,9,FEMALE,3.06,INTERESTED TO JOIN
Sally Alvarez,chriswise@example.net,UNDER GRAD,FRONTEND,3,7,MALE,3.94,INTERESTED TO JOIN
David Mccullough,timothy66@example.org,PHD,FULLSTACK,5,9,OTHERS,3.5,IMMEDIATELY
Michelle Knox DDS,douglasking@example.net,PHD,BACKEND,3,6,FEMALE,3.5,IMMEDIATELY
Jacqueline Lawrence,pamelaarellano@example.com,PHD,APP DEV,7,4,FEMALE,3.28,IMMEDIATELY
Bryan Thomas,acampbell@example.org,MASTERS,WEB DEV,3,5,MALE,3.19,INTERESTED TO JOIN
Sarah Ross,ksanders@example.org,UNDER GRAD,CYBER SECURITY,7,7,MALE,3.19,INTERESTED TO JOIN
Angel Clark,kellyestrada@example.com,PHD,FULLSTACK,3,3,MALE,3.9,IMMEDIATELY
Michelle Kelly,lmiles@example.org,UNDER GRAD,FULLSTACK,0,7,MALE,3.4,IMMEDIATELY
Eugene Shields,todd06@example.com,UNDER GRAD,FRONTEND,6,7,OTHERS,3.05,INTERESTED TO JOIN
Stephanie Smith,jerrymunoz@example.org,UNDER GRAD,BACKEND,6,10,FEMALE,3.53,IMMEDIATELY
Alicia Taylor,maldonadoryan@example.net,PHD,APP DEV,4,9,OTHERS,3.1,IMMEDIATELY
